City_ID,City,Country,Max Temp,Current Description,Lat,Lon,Hotel Name
356,Salalah,OM,82.49,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
358,Hasaki,JP,79.2,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
363,Aklavik,CA,84.51,few clouds,68.2191,-135.0107,Aklavik Inn
364,Pontianak,ID,75.18,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
365,Xiangxiang,CN,75.92,overcast clouds,27.7333,112.5333,Huatai International Hotel
367,Marsa Matruh,EG,79.0,clear sky,31.3525,27.2453,Beau Site
372,Namatanai,PG,79.14,light rain,-3.6667,152.4333,Seagulls Inn Namatani
375,Axim,GH,76.64,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
376,Irbil,IQ,85.82,clear sky,36.1926,44.0106,Erbil International Hotel
378,Bubaque,GW,78.75,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
379,Puerto Carreno,CO,84.18,few clouds,6.189,-67.4859,Casa Hotel Victoria
380,Norsup,VU,79.99,few clouds,-16.0667,167.3833,Nabelchel Bungalows
385,Manoharpur,IN,86.09,broken clouds,27.3,75.95,कैथल हरियाणा होटल
393,El Jicaro,GT,87.33,overcast clouds,14.9167,-89.9,Auto Hotel Refugio de Don Pepe
397,Kihei,US,82.42,scattered clouds,20.785,-156.4656,Maui Sunset
399,Ripoll,ES,77.43,light rain,42.2006,2.1903,Hotel Solana Del Ter
400,Sinnar,SD,77.77,light rain,13.5691,33.5672,بساتين سالمة
405,Polis,CY,78.62,clear sky,35.0367,32.4264,Marion
410,Cap-Haitien,HT,82.35,broken clouds,19.7578,-72.2042,Habitation Jouissant
416,Sao Joao Da Barra,BR,77.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
417,Lins,BR,75.92,clear sky,-21.6786,-49.7425,Blue Tree Thermas de Lins
419,San Jose,US,76.89,broken clouds,37.3394,-121.895,The Westin San Jose
423,La Romana,DO,82.76,overcast clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
426,San Policarpo,PH,80.47,overcast clouds,12.1791,125.5072,Agapita M. Nicart
427,Beecher,US,85.75,broken clouds,43.09,-83.6944,"Holt's Mobile Home Court, Sales and RV Park"
428,Puerto Escondido,MX,86.83,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
442,Chabahar,IR,83.3,overcast clouds,25.2919,60.643,هتل گدروشیا
443,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
446,Puerto Colombia,CO,87.89,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
448,Wanning,CN,80.69,overcast clouds,18.8003,110.3967,Paradise Hotel
450,Achi,CO,88.09,broken clouds,8.5682,-74.554,Hotel Sahar
452,Sola,VU,80.19,broken clouds,-13.8833,167.55,Leumerus Bungalows
453,Mahon,ES,77.56,clear sky,39.8885,4.2658,ARTIEM Capri
454,Hirara,JP,83.28,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
456,Noto,IT,79.79,clear sky,36.8901,15.0693,Grand Hotel Sofia
462,Tautira,PF,76.78,broken clouds,-17.7333,-149.15,Pension Oaoa
467,Itoman,JP,80.98,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
468,Parauna,BR,76.21,broken clouds,-16.9478,-50.4486,Hotel Serras de Paraúna
470,La Palma,US,89.19,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
474,Fukue,JP,77.07,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
478,Tortoli,IT,78.62,clear sky,39.9256,9.6572,Hotel La Bitta
483,Sakaiminato,JP,78.78,broken clouds,35.55,133.2333,Italian pasley
484,Inirida,CO,83.53,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
488,Tandalti,SD,78.44,overcast clouds,13.0167,31.8667,منزل : الهادي محمد مساعد
489,Pozo Colorado,PY,84.22,few clouds,-23.4923,-58.7972,Hospedaje La Norteña
493,Cotonou,BJ,78.78,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
494,Phan Thiet,VN,77.34,overcast clouds,10.9333,108.1,Hotel Saigon-PT
497,Ishigaki,JP,80.73,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
500,Palmas,BR,89.47,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
501,Alofi,NU,76.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
508,Sao Jose Da Coroa Grande,BR,75.81,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
510,Negombo,LK,80.65,scattered clouds,7.2083,79.8358,Hotel Sunset Beach
512,Careiro Da Varzea,BR,83.03,broken clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
515,Itanagar,IN,75.06,overcast clouds,27.1,93.6167,Hotel Moomsie Itanagar
518,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
519,Ohara,JP,76.91,overcast clouds,35.25,140.3833,Sakigake
520,Mae Chan,TH,76.66,overcast clouds,20.1467,99.8526,Kiang Dao Resort
521,Guerrero,MX,84.24,broken clouds,17.6667,-100.0,Villaxochilt
522,Maragogi,BR,75.4,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
523,Ranong,TH,79.86,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
525,Carutapera,BR,76.77,overcast clouds,-1.195,-46.02,Lidera
526,Timizart,DZ,82.29,broken clouds,36.8,4.2667,yefssah restaurant
530,Naze,JP,77.92,overcast clouds,28.3667,129.4833,Shishime Hotel
536,Dingzhou,CN,75.31,overcast clouds,38.5131,114.9956,宜家时尚宾馆
542,Nisia Floresta,BR,75.58,light rain,-6.0911,-35.2086,Rancho Crepusculo
548,Cuyo,PH,84.06,overcast clouds,10.8525,121.0086,Francia Inn
557,Fort Nelson,CA,78.39,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
560,Luis Correia,BR,84.2,broken clouds,-2.8792,-41.6669,Hotel Amarração
561,Ashland,US,84.74,clear sky,40.8167,-82.2665,SureStay
562,Acapulco,MX,85.82,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
563,Sur,OM,87.46,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
